mid_month,num_trans,num_day,std
20360510000146_9,0.08988764,0.136363636,0.337530471
20300000000744_7,0.074906367,0.636363636,0.075182296
20300000000744_8,0.037453184,0.681818182,0.040963319
20300000000744_9,0.123595506,0.954545455,0.05688446
20300000000145_7,0.052434457,0.727272727,0.05858787
20300000000145_8,0,0.636363636,0.011294755
20388880000001_9,0.741573034,0.818181818,0.364280165
20353310000003_9,0,0.545454545,0.026167331
20388880000040_7,0.06741573,0.818181818,0.049956719
20388880000040_8,0.108614232,0.818181818,0.062287287
20388880000040_9,0.134831461,0.954545455,0.07906644
20360510000057_7,0.112359551,0.863636364,0.058756936
20360510000057_8,0.194756554,0.954545455,0.099647368
20360510000057_9,0.179775281,0.909090909,0.10316503
20488880000009_7,0.018726592,0.681818182,0.031373075
20488880000009_9,0.033707865,0.636363636,0.048688024
20300000000167_9,0.479400749,1,0.175024384
20300000000033_8,0.086142322,0.818181818,0.056918374
20488880000008_7,0.400749064,0.681818182,0.304060225
20488880000008_8,0.393258427,0.636363636,0.279959508
20488880000008_9,0.483146067,0.545454545,0.414158844
20300000000073_8,0.243445693,0.772727273,0.138413059
20300000000073_9,0.026217228,0.590909091,0.058341382
20300000000132_7,0.048689139,0.909090909,0.018186846
20300000000132_8,0.033707865,0.863636364,0.020192165
20300000000132_9,0,0.681818182,0.006155452
20360510000054_7,0.217228464,0.818181818,0.269998099
20360510000054_8,0.026217228,0.409090909,0.08476014
20360510000054_9,0.02247191,0.181818182,0.147732583
20360510000056_9,0,0.454545455,0.03861246
20400000000048_8,0.06741573,0.818181818,0.053295299
20300000000028_9,0.456928839,0.545454545,0.491815736
20300000000404_8,0.041198502,0.681818182,0.061298336
20400000000058_9,0.239700375,1,0.128307385
20300000000007_9,0.06741573,0.818181818,0.046843255
20400000000002_8,0.187265918,1,0.087626346
20400000000002_9,0.108614232,0.863636364,0.066535497
20360510000025_7,0.164794007,1,0.091719696
20360510000025_8,0.097378277,0.909090909,0.047190401
20360510000025_9,0.101123596,0.818181818,0.072371235
20300000005967_8,0.205992509,0.181818182,0.394272771
20300000005967_9,0.037453184,0.136363636,0.177991102
20360510000024_7,0.119850187,0.590909091,0.101556996
20360510000024_8,0.138576779,0.454545455,0.122037576
20360510000024_9,0.220973783,0.590909091,0.138853559
20460510000033_8,0.003745318,0.636363636,0.012177294
20460510000033_9,0.086142322,0.772727273,0.074623309
20360510000069_7,0.078651685,0.954545455,0.022584381
20360510000069_9,0.056179775,0.909090909,0.009420941
20388880000039_8,0.149812734,0.909090909,0.065912152
20360510000045_7,0.119850187,0.590909091,0.118494425
20360510000045_8,0.026217228,0.5,0.03622229
20360510000045_9,0.138576779,0.818181818,0.076524649
20388880000041_9,0.445692884,1,0.132223746
20400000000140_7,0.02247191,0.590909091,0.027724234
20400000000140_8,0.037453184,0.681818182,0.026444056
20360510000099_7,0.310861423,0.954545455,0.130420306
